item_kind,item_id,stratum,judge,judged_at,is_real_news_about_real_company,is_right_company,is_category_correct,precision_ok_for_source_floor,venture_band,baseline_fields_ok,resolution_verified,confidence_decile,registry_linkage_ok,fact_type_correct,amount_within_20pct_or_estimated,investors_real_and_attributed,date_within_14d,reject_reason_coherent,summary_fully_faithful,cluster_pure,cluster_split_missed,representative_best_tier,listgen_precision_at_limit,interpreted_filters_match_intent,notes
cluster,sto_01M0M2FXEKM9FM3A88CDY5FDHJ,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M2FYNYDDXRA03FX2DKHBYK,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3CJ2P4Z5KWGMMS3FR3M74,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3CJQBRHA1WWYSVYZ3T4EG,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3D3C6RWTKH1HFX8WBR48P,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3S4M01643QG3K55G74B64,size:4,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3SCM7XD3W79HRDTBNQ835,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M3SG46VD9SBRTX5T2BEB7R,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MEG1QPWWKD5JJ05C21XG,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MH4HYVYR97MDADTVS0YP,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MKABHZFBS47X58EZNFBK,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MRPQFXT03QCT6M5RX764,size:4,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MRRHTBF6N75KW47FV0NE,size:3,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MXJXJ7KKE9S0V3813BN5,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M4MZCA4H00V0A3RJJMZPRV,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M7WX0C3AY2X2084KBFSREJ,size:2,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M7WY9MT7PQXCP8QGQ6FC1C,size:4,,,,,,,,,,,,,,,,,,,,,,,
cluster,sto_01M0M7XBY4NNZ353VNYS1NGYAV,size:2,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-1,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-2,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-3,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-4,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-5,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-6,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-7,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-8,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-9,canned,,,,,,,,,,,,,,,,,,,,,,,
listgen,query-10,canned,,,,,,,,,,,,,,,,,,,,,,,
